date      , away_team     , home_team     , away_score, home_score, winner, final_score, total_goals
2024-03-12, Rangers       , Hurricanes    ,          1,          0, away  , 1-0        ,           1
2024-03-12, Blue Jackets  , Canadiens     ,          0,          3, home  , 0-3        ,           3
2024-03-12, Penguins      , Senators      ,          1,          2, home  , 1-2        ,           3
2024-03-12, Sharks        , Flyers        ,          2,          3, home  , 2-3        ,           5
2024-03-13, Panthers      , Stars         ,          4,          3, away  , 4-3        ,           7
2024-03-13, Coyotes       , Wild          ,          1,          4, home  , 1-4        ,           5
2024-03-13, Ducks         , Blackhawks    ,          2,          7, home  , 2-7        ,           9
2024-03-13, Avalanche     , Flames        ,          6,          2, away  , 6-2        ,           8
2024-03-13, Golden Knights, Kraken        ,          5,          4, away  , 5-4        ,           9
2024-03-13, Kings         , Blues         ,          1,          3, home  , 1-3        ,           4
2024-03-13, Predators     , Jets          ,          4,          2, away  , 4-2        ,           6
2024-03-14, Capitals      , Oilers        ,          2,          7, home  , 2-7        ,           9
2024-03-14, Avalanche     , Canucks       ,          4,          3, away  , 4-3        ,           7
